undergrad_uni,undergrad_uni_tier
Dayananda Sagar College Of Engineering,2
sri venkateswara college of engineering,2
"Presidency college, Bangalore",3
"bits
",1
indian institute of information technology Tiruchirapalli,2
"jntuhcej,karimnagar",2
skncoe vadgoan,3
Cusat,2
national taiwan tsing hua university,1
Datta Meghe College Of Engineering,3
"Institute of Chemical Technology , Matunga",1
ACS College Of Engineering,3
Yogananda institute of technology and science,3
seshachala institute of technology,3
sanskrithi school of engineering ,3
Global Institute of Technology,3
JRE group of institutions,3
Surabhi Group of Institution,3
St. Peter's engineering college,3
Thakur College Of Science And Commerce ,2
University of Calcutta,2
Nalla Malla Reddy Engineering College,3
Dr. Baliram Hiray College of Architecture,3
University of chicago,1
Sharif University of Technology,1
DY Patil College of Architecture,3
Lukhdhirji Engineering College,3
Institute of Management and Career Courses,3
MIRACLE EDUCATIONAL SOCIETY GROUP OF INSTITUTIONS ,3
SR Engineering College,3
kc college,2
"GHRCE, Nagpur ",2
Bharati vidyapeeth university college of engineering,2
Andhra university college of engineering,2
little flower degree college,3
Pakistan Institute of Engineering and Applied Sciences,1
l.j institute of technology,2
Maharashtra Institute Of Technology,2
"Government College of Engineering, Nagpur ",2
MANIPAL UNIVERSITY,2
JB Institute of Engineering and Technology,3
jnn institute of engineering ,3
G.S.Moze College Of Engineering,3
University of Massachusetts Amherst,2
Sri Venkatesa Perumal College of Engineering and Technology ,3
g.pulla reddy colege of pharmacy,3
St Marys Engineering College,3
Talla Padmavathi College Of Pharmacy,3
"Jaya Prakash Narayan College of Engineering, Mahbubnagar",3
"JECRC University, Jaipur",3
Ramniranjan Jhunjhunwala College,3
"Indian Institute of Technology Mandi, Himachal Pradesh",1
DIT School of engineering,3
Anand INstitute of Higher Technology,3
Dhanalakshmi Srinivasan Engineering College ,3
Nagarjuna College Of Engineering And Technology,3
The Oxford College Of Engineering,3
Samskruthi college of pharmacy,3
isl engineering college,3
Malla Reddy Engineering College,3
Ddit,3
unitedworld institute of design,3
American University of Sharjah,2
kits ra,3
NKOCET,3
NIT Rourkela,2
OEC,3
New York University,1
HR College of Commerce and Economics,3
BABU BANARASI DAS UNIVERSITY,3
KIIT Bhubaneswar,3
Veltech Dr. RR & SR R&D Institute of Technology,3
B N M Institute of Technology,3
St. Thomas College Of Engg. ,3
Dayalbagh Educational Institute,3
Ned university of engineering & technology,2
FR CONCEICAO RODRIGUES College of Engineering,3
VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY,2
"KJ Somaiya College Of Engineering, Vidyavihar, Mumbai",2
Sitrc,3
Sri Venkateshwara college of engineering ,3
Prasad V. Potluri Siddhartha Institute of Technology,3
PDEU,2
Indo Global College of Engineering ,3
veer Surendra Sai University Of Technology,2
"Terna Engineering College, Nerul, Mumbai",2
"B.V.Bhoomaraddi College of Engineering And Technology,",2
S J C institute of technology,3
FEDERAL UNIVERSITY OF AGRICULTURE ABEOKUTA,2
JNNCE,2
Shri Balaji Institute of Technology & Mgmt.,3
g h raisoni college of engineering and management Amravati,3
Ajay Kumar Garg Engineering College,3
Heritage institute of technology,3
Govt Dental College And Hospital ,3
gitam school of technology,3
madurai kamaraj university,3
"Indian Institute of Information Technology, Kalyani",2
Trichandra Multiple Campus,3
khwopa engineering college,3
Manipal Jaipur,2
IIMT college of engineering,3
Marg Institute of Design and Architecture Swarnabhoomi,3
"BITS Pilani, Dubai Campus",2
B.V.Bhoomaraddi college of engg ,3
vignana bharathi engineering college,3
NEW HORIZON COLLEGE OF ENGINEERING ,3
Aurora's Technological and Research Institute,3
visvodaya engineering college ,3
saividya institute of technology,3
smt singhgad,3
St.Xavier's College,2
Gujarat Institute Of Technical Studies,3
maharaja sayajirao university,2
"government college of engineering,aurangabad
",2
cmr college of pharmacy,3
Global academy Of Technology,3
Dr. D Y Patil College of Engineering ,3
Hindustan institute of technology and sciences,3
Noble Degree College,3
Auburn University,2
Michael Okpara University of Agriculture Umudike,3
vfstr,3
Pdvvpf medical college,3
Dr G R Damodaran college ,3
vr siddhartha engineering college,3
Softvision College of Biotechnology,3
sandip foundation,3
"School of pharmacy, DAVV",2
Manav rachna college of engineering ,3
GRD College of science,3
BYK College of commerce ,3
Velammal Engineering College,3
Delhi Metropolitan Education,3
"Calcutta Institute of Technology, Uluberia",3
Avanthi degree and pg college,3
St. Peters University,3
"DY Patil Institute Of Engineering, Akurdi",3
Vignans Lara Institute Of Technology And Science,3
"Govt. College Of Engineering, Jalgaon",2
Sree Dattha Group Of Institutions,3
AMC engineering college,3
MAKAUT,3
"School of Engineering and Technology, Navrachana University",3
"RAJSHAHI UNIVERSITY OF ENGINEERING & TECHNOLOGY , BANGLADESH",2
maharashtra institute of technology aurangaba,3
Vignana Bharathi Institute Of Technology,3
Methodist college of engineering,3
Smt. Rajashree Mulak college of engineering for women,3
Bvrit,3
University Institute Of Information Technology,3
GL Bajaj institute of technology & Management,3
Velammal Institute of Technology,3
NITK Surathkal,2
Visvesvaraya Technological University ,3
St.Xaviers College ,2
Instituto Tecnológico y de Estudios Superiores de Monterrey,2
Siem,3
JNTUA,3
JADAVPUR UNIVERSITY,2
rajarambapu institute of technology ,3
JCD College of Engineering,3
Jawharlal Nehru Technological University,3
acharaya nagarjuna university,3
IIIT DHARWAD,2
ATME COLLEGE of ENGG,3
"GURU GOBIND SINGH COLLEGE OF ENGINEERING AND RESEARCH CENTRE, NASHIK",3
Tamil Nadu College of Engineering,3
XYIT,3
"Matrusri Engineering college hydera, Hind, Hindupur",3
"Kirori Mal College, University of Delhi",2
St Mary's yosufguda ,3
nkt college,3
Deerwalk Institute of Technology,3
RAJAMAHENDRI INSTITUTE OF ENGINEERING AND TECHNOLOGY,3
sri sukhmani institute of technology,3
North East Frontier Technical University,3
"Dwarkadas J Sanghvi College of Engineering, Mumbai",3
Rao Bahaddur Y Mahabaleshwarappa Engg College,3
State University of New York at Binghamton,2
L.D ,3
mallareddy institute of technology and science,3
Rajagiri School of Engineering and Technology,3
BITS Pilani- Goa,1
Swami vivekananda society,3
Anand Agricultural university,3
IBMR IPS Academy Indore India ,3
Usha Mittal Institute of Technology ,3
National Taipei university of technology,2
"College of Technology, Haldwani, Haldwani",3
United College Of Engineering And Management,3
college of vocational studies ,3
Maharishi Dayanand Saraswati university ,3
SRI KRISHNADEVARAYA ENGINEERING COLLEGE,3
Islington College,3
sahyadri science college,3
IIIT,2
Technocrats Institute of Technology [Excellence],3
Mahindra University ,2
c v raman college of engineering,3
vignan institute of technology And science,3
University of Wollongong in Dubai,2
Adichunchanagiri Institute Of Technology,3
Jayawantrao Sawant College of Engineering,3
G H Raisoni College of Engineering,3
"Indian Institute of Information Technology Design & Manufacturing, Kancheepuram",2
"Cochin university of science and technology, Kochi",2
Calcutta university,2
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",2
Birla Institute of Technology Mesra ,2
K K Wagh Institute of Engineering Education and Research,3
Narula Institute Of Technology,3
university of toronto,1
TCET,3
B.P poddar institute of management and technology,3
Vaishnavi Institute Of Technology,3
Bharati Vidyapeeth college of engineering ,3
Oriental College of Technology,3
sphoorthy Engineering college ,3
Priyadarshini Degree and PG College,3
National Institute of Fashion Technology,2
"muthayammal engineering college , Namakkal",3
"K K WAGH INSTITUTE OF ENGINEERING EDUCATION AND RESEARCH, NASIK",3
University of Maryland college Park,2
Narayana Engineering College,3
CMR college of engineering and technology,3
"maharaja agrasen institute of technology, new delhi",3
Pupil saveetha eco school,3
"goverment college of engineering, amravati",3
mumbai,3
vidya vikas institute of enginering and technology,3
St.Peter's College of Engineering and Technology,3
Foreign Trade University,2
Sri Shankaracharya College of Engineering and Technology ,3
Alard College Of Engineering And Management,3
Karunya University,3
"PES Modern College of Arts, Commerce and Science, Shivaji nagar",3
GITAM DEEMED TO BE UNIVERSITY,2
PSG institute of  technology and applied research,3
Symbiosis Center for Information Technology,2
Mop vaishnav college for women ,3
RRS College Of Engineering And Technology,3
Giani Zail Singh PTU Campus,3
Dr. Mahalingam College of Engineering and Technology,3
malla reddy college of engineering and technology,3
Thiyagarajar College of engineering ,3
Sri Sivasubramaniya Nadar College Of Engineering,3
Siddharth degree college,3
SVS Group Of Institutions,3
"Bennett University, Greater Noida",2
Jain Institute Of Technology,3
bhoj reddy engineering college for women,3
Malla Reddy Institute Of Technology,3
College of Engineering & Technology,3
Jagruti degree and pg college,3
Adithya institute of technology,3
garden city college,3
SAL Institute of Technology & Engineering Research,3
UIT-RGPV,3
srm institute of science of technology ,2
St.anns College Of Engineering And Technology,3
JBIT,3
Dr. B.C. Roy Engineering College,3
"Rajalakshmi Engineering College , Thandalam",3
"College of Engineering and Technology, Bhubaneswar",3
Ramnrain Ruia College,2
"Bharati Vidyapeeth's College of Engineering, New Delhi",3
George Washington Univeristy,2
University of North Texas health science center,2
University of Southern California ,1
"Indian Institute of Technology, Bombay",1
Vivekananda Institute Of Technology And Science,3
upes,3
Jawaharlal Nehru Technological University College of Engineering Jagtial,3
Shri Ramdeobaba College of Engineering,3
Atharva College of Enginnering,3
Sir J.J. College Of Architecture,2
VJTI,2
Priyadarshini Institute of Science and Technology for Women ,3
"Federal University of Technology, Minna ",2
S.G.S.I.T.S,2
Manav bharti university,3
"FTE, The maharaja sayajirao University ",2
NSIT,2
"Institute of Engineering and technology, Ahmedabad",3
Arya Institute of Engineering & Technology,3
National Taiwan University of Science and Technology,2
anantha Lakshmi institute of technology and sciences ,3
Kakatiya institute of technology and science,3
Gouthami degree college,3
padmabhushan vasantdada patil college of engg,3
"VIvekanand institute of technology, mumbai",3
Nalla Narasimha Reddy Education Society’s Group of Institutions,3
Birla Institute of Applied Sciences,3
Vishwakarma Institute Of Information Technology,2
St. Joseph's college of engineering,3
Union Christian College,3
Rvr&jc college of engineering,2
"Bhilai Institute of Technology, Raipur",2
Vardhaman College Of Engineering,2
CMR Institute of Technology,2
Dr.M.G.R Educational and Research Institute,3
St. Mary's College of engineering and technology ,3
Sal,3
Dr. KNMIET,3
College Of Engineering Trivandrum,2
Rutgers,2
 Pad.Dr D. Y Patil College of engg.and Technology PIMPRI PUNE-18,2
"Christ University, Bengaluru ",2
Vishwanatha Rao Deshpande Rural Institute Of Technology,3
rajalaskhmi engineering college,2
abc College Of Engineering,3
Audishankara College of Engineering and Technology,3
"Sri Sairam Engineering College , West Tambaram",3
"sinhagad  engineering college, Pune",2
aaaa,3
veer narmad south Gujarat University,3
Dwarkadas. J.Sanghvi college of engineering,2
NBKR Institute of Science and Technology,3
"K.J.Somaiya College of Engineering,Vidyavihar,Mumbai,Maharashtra",2
Kasireddy Narayan Reddy College Of Engineering And Research,3
Ramachandra College of engineering,3
Gurunanak Institute Of Technology,3
Techno India NJR Institute of Technology,3
Gogte institute of technology,2
S.R.K.R Engineering college,2
siddaganga womens college,3
kgce,3
SRM Institute of Science and Technology ,2
IIT Guwahati,1
Indian Institute of Technology Dharwad,1
National Taiwan University,1
Govt. Holkar Science College,3
Apj Abdul Kalam university indore ,3
Vaagdevi College of Pharmacy,3
St Josephs College Of Engineering,3
COLLEGE OF VETERINARY SCIENCE,3
Shivani Engineering College,3
aditya silver oak engineering collage,3
ANAMBRA STATE UNIVERSITY,3
Amity business school,2
Tsec ,2
"Theem College Of Engineering, Boisar",3
IGDTU,2
MVJ College of Engineering,3
"Gargi College, University of Delhi",2
vnr vjiet,2
Chaitanya Bharati Institute of Technology,2
vnrvjiet,2
Hindu College,1
"Maharaja institute of technology,thandavpura",3
DY Patil International University,3
Kyung Hee University,1
"PDEA College Of Engineering, Manjiri",3
ssn college of engineering,2
"Indraprastha college for women, Dellhi University",2
Sai Tirumala NVR Engineering College,3
St Columba’s School,3
gh raisoni college of engineering nagpur,3
SIET,3
ravindra college of engineering for women,3
Acropolis Institute of Technology & Research,3
"College of Technology,G. B.P.U.A & T",2
Sardar Patel College of Technology,3
Chitkara University,2
G. H. Patel College of Engineering,2
"BPUT,Rourkela",2
G B PANT ENGINEERING COLLEGE,2
NIT Surathkal,1
University of Louisiana,2
Malla Reddy College of engineering & technology,3
Kammavari Sangham Institute of Technology,3
"Kakatiya University College of engineering and technology,warangal",2
UC Santa Cruz,1
Govt.Model Engineering College,2
Institute of technical education and Research,2
bvcoe,3
Babu banarsi das institute of technology ghaziabad,3
"MIT Academy Of Engineering, Alandi",2
jaypee institute of information technology,2
cvr,2
Itm University Gwalior,3
"BVRIT Hyderabad College of Engineering for Women, Hyderabad",2
Narayana etechno school,3
MSRIT ,2
Acharya Bangalore b school,3
Manoharbhai Institue Of Engineering And Technology ,3
baba jaswant singh dental college,3
"Watumull Institute Of Electronics Engineering And Computer Technology, Worli, Mumbai",3
Rajiv Gandhi university of Knowledge Technologies-Nuzvid,2
"K.J.Somaiya College of Engineering and Information Technology,Sion",2
V R Siddartha engineering college,2
"International Institute of Information Technology, Hyderabad",1
Pinnamaneni Siddardha College of Medical Sciences,3
cvr college of engineering ,3
BMS Institute Of Technology,3
Sal college of Engineering ,3
Charotar Institute Of Technology,3
Anurag College Of Engineering,3
"bellary institute of technology and management,bellary",3
srinidhi institute of technology,3
punjab engineering college,2
GIT ,3
MIT Kothrud,3
Lipscomb University,3
Isfahan university of technology,2
NMIMS Balwant Sheth School of Architecture,2
K G Reddy college of Engineering and Technology,3
Vtu,3
University of Westminster,2
"University of engineering and management, Kolkata",3
Ashoka Institute Of Engineering And Technology,3
sggsie and t,2
American International University-Bangladesh,3
St. Wilfred's Institute of Architecture,3
"Govt. engineering college, Bikaner",3
Malini Kishore Sanghvi College Of Commerce And Economics,3
Dr. BR Ambedkar National Institute of Technology Jalandhar,2
Central University of Karnataka,3
V.E.S. Institute Of Technology,3
Gujarat power engineering and research institute,3
Ambedkar University,3
Vaagdevi degree & pg college,3
M.V.Jayaraman College Of Engineering,3
L D college of engineering,2
Dhanekula Institute of engineering and technology,3
ACPM den,3
"BVRIT Hyderabad College of Engineering , Medak.",3
"Dr. Ambedkar Institute of Technology near jnana bharati campus , BDA outer Ring Road , Mallathahalli, Bangalore ",3
K.S.Rangasamy College of Technology,3
Indian institute of technology guwahati,1
Alpha College of Engineering & Technology,3
"College of Engineering and Technology , Bhubaneswar",2
"Lakshmi Narain College of Technology, Indore",3
"Loyola-ICAM College of Engineering & Technology , Nungambakkam",3
"Padmashree Dr.D.Y.Patil Institute of Engineering and reserch,Pune",3
Vidya Prasarak Mandal Maharshi Parshuram college of engineering ,3
Rajiv Gandhi Institute Of Technology,3
FCRIT,3
Roots Collegium,3
Easter Michigan University,3
chaitanya degree college,3
"Pace Junior Science College, Borivali",3
dj sanghvi,2
"anil neerukonda institute of technology and sciences, Visakhapatnam",3
"RGUKT, Nuzvid",2
Shree Kheteshwar Mahavidyalaya,3
Jaypee Institute Of Information Technology,2
Aurobindo Institute Of Engineering And Technology,3
"Veermata Jijabai Technological Institute , Matunga, Mumbai",2
NIST,3
XYZ,3
G H Patel College Of Engineering And Technology ,2
Graphic Era University,3
PES Modern College Of Engineering,3
Wright state university,3
Birla Vishvakarma Mahavidyalaya,2
Maharaja Agrasen Institute of Technology ,2
"SCET, Surat",2
L.J.I.E.T.,3
National Institute Of Technology Silchar ,2
Narasaraopeta Engineering College,3
University Institute of Information Technology,3
JBAS college for women,2
D. G. Ruparel college,2
"Pillai College Of Engineering, New Panvel",3
kit's college of engineering,3
Dr K.N.Modi Institute of Engineering & Technology ,3
Muffakham Jah College of Engineering and Technology,2
GEC Rajkot,2
FAMT,3
"Auro University, Surat",3
"st. Xaviers college,Mumbai",2
SEA College Of Engineering And Technology,3
Presidency College,2
SWARAJ INDIA,3
Universal college of engineering ,3
University of Texas Arlington ,2
sandip institute of engineering and management nashik,3
NMIMS Navi Mumbai,2
University of the Philippines Diliman,2
teegalakrishnareddy engineering college,3
adani institute of infrastructure engineering,3
Sal Engineering & Technical Institute,3
Bharatiya Institute of Engineering & Technology,3
Nanjing University of Posts and Telecommunications ,2
Marian Engineering College,3
Netaji Subhash Eng,3
Proudadevaraya Institute Of Technology,3
Kakatiya institute of technology and science warangal,2
"government college of engineering, karad",2
"Jawaharlal Nehru Architecture and Fine Arts University, Hyderabad",2
Simpkins,3
kj somaiya ,2
"Graphic Era University, Dehradun, Dehradun",3
"VIT University, Amaravati ",2
jawaharlal darda institute of engineering and technology ,3
BABU BANARASI DAS COLLEGE,3
united college of engineering and research ,3
Government Engineering College Thrissur,2
Bharati Vidyapeeth University College of Engineering,3
atal bihari vajpayee indian institute of information technolgy and managment ,2
Thanthai Periyar Govt Institute of Technology,3
raghu institute of technology,3
SV engineering college for women,3
Bhavans college,3
TKR College Of Engineering And Technology,3
"Government Engineering College, Bhavnagar",3
Mvgr college of engineering,3
DECCAN COLLEGE OF ENGINEERING AND TECHNOLOGY,3
NRI INSTITUTE OF TECHNOLOGY,3
GNDU Regional Campus,3
Rajeev institute of technology ,3
NIT Manipur,2
ITM Gurgaon,3
MOP VAISHNAV,3
ML DAHANUKAR COLLEGE OF COMMERCE,3
sree Chaitanya college of engineering,3
"Shri Shankaracharya Institute of Professional Management And Technology, Raipur",3
Padmashree Dr.D.Y.Patil Institute of Engineering and Technology,3
Krishna University,3
"School Of Computer Science, DAVV",3
"M.V.J college of engineering  
",3
jre school of engineering,3
NIT Andhra Pradesh,2
Apeejay Stya University,3
"Sardar Patel College Of Engineering, , Andheri",2
whatsapp,3
Sir Padampat Singhania University,3
alpha college of engineering and technology,3
griet,2
"City, University of London",2
AP Shah Institute of Technology,3
Western New England University,3
The Parvatibai Chowgule College of Arts and Science,3
M.B.M. ENGINEERING COLLEGE,2
BMS INSTITUTE OF TECHNOLOGY ,3
"Pune Institute of Computer Technology, Pune",2
CHARUSAT,3
Nri Institute Of Technology,3
JSS Science and Technology University [formerly Sri Jayachamarajendra College of Engineering],2
RKDF Institute of Science & Technology,3
Aayojan School of Architecture and Design,3
Dr D Y Patil College of Engineering Akurdi,2
Sri Siddhartha Institute of Technology,3
GMR institute of technology ,3
"dharamsinh desai university, Nadiad",2
"Government Engineering College,Bartonhill",2
Dehradun Institute of Technology,3
Meghnad Saha institution of technology,3
A D Patel Institute of Technology,2
Annasaheb Dange College Of Engg,3
"Prince Shri Venkateshwara Padmavathy Engineering College , Ponmar, Chennai",3
GCET,3
JNTUH college of engineering Hyderabad,2
vrsiddhartha engineering college,2
BVB college of engineering hubli,2
University of Delaware,2
Hanoi university of science and technology,2
"Government Engineering College, hassan",2
Sri srinivasa degree college,3
University College of Engineering Jntuk Narasaraopet,2
VRSEC,2
Indian Institute of Engineering Science and Technology,2
Awadh Girls  College,3
Thadomal Shahani Enginerring college,2
"College Of Engineering and Technology,Bubaneswar",2
"Loyola Institute Of Technology And Management, Guntur",3
"Vidya Vikas Institute of Engineering and Technology, Mysooru",3
G. Pulla Reddy Engineering college,2
adhiyamaan college of engineering,3
Father Conceicao Rodrigues Institute of Technology,2
vkr ,3
"northern india engineering college,ggsipu",2
university of iowa,2
gla university,3
North Carolina University,2
"TKIET, warananagar",3
St Peters Engineering College ,3
Indian Institute of Information Technology Pune,2
NIE Inst. Of Technology,3
Royal College of Science and Commerce,3
University of Ghana ,2
VDF COLLEGE OF ENGINEERING,3
BGS Institute Of Techonology,3
st.josephs degree and pg college,3
"Coimbatore Institute of Technology, Coimbatore",2
Stanley College of engineering and technology for women ,3
R V R and J C College of Engineering,2
Federal university of Agriculture Abeokuta ,2
"Institute of Engineering , Thapathali Campus",2
MNIT Jaipur,2
Maharaj Vijayram ,3
VMR Institute Of Technology And Management Sciences,3
Netaji Subhash Institute of Technology,2
Vidyalankar school of information technology ,3
Kamala Institute Of Technology,3
KLE Institute Of Technology,3
Amrita Vidyalayam ,3
University of Derby,2
NMIMS,2
Federal University Oye-Ekiti ,2
G. Narayanamma institute of technology and science,3
poornima university,3
Kettering University ,2
"Panimalar Institute of Technology, Chennai, tamilnadu",3
Amal Jyothi,3
"G.Narayanamma Institute of Technology and Science, Hyderabad",3
"Sree Sastha Institute of Engineering & Technology , Chembarambakkam",3
Dr DY Patil Biotechnology and Bioinformatics Institute,3
Gokula Krishna College of Engineering,3
Vishwakarma Gov. Engineering college,2
Columbia Institute of engineering and Technology,3
Uttar Pradesh Technical University,2
Kamavari sangam school of engineering and management,3
"Vel Tech University , Chennai",3
University of Dayton,2
Regional Institute of Education,3
Government Engineering College  sec28 gandhinagar,2
"Birla Vishwakarma Mahavidyalaya Engineering College, Vallabh Vidhya Nagar, Anand",2
Acharya N. G. Ranga Agricultural University,2
City College of New York,2
MIT-ADT University,3
NIT Meghalaya,2
NIET,3
Sgsits,2
"Rajiv Gandhi university of Knowledge Technologies, Kadapa",2
Government College of Technology,2
KC College,3
K. L. N. College Of Engineering ,3
P.d.e.a's College Of Engg.,3
Sal college of engineering,3
GLA University,3
Guru Nanak College,3
"matrusri engineering college
",3
Islamiah Institute Of Technology,3
IIT Mandi,1
Rajiv gandhi institute of technology,3
"Jaya College of Engineering , Thiruninravur, Avadi",3
"YCCE, Nagpur, India",2
Ahmedabad Institute of Technology,3
JUIT,2
Sharda University,3
AISSMS IOIT ,3
Chandigarh Engineering College,3
Asia university ,3
SJB Institute Of Technology,3
bvrit,3
jntu hyderabad,2
"Rajiv Gandhi university of Knowledge Technologies, Ongole ",3
"Vidya Vikas Education Trust's Technical Campus , Kaman",3
"Krishna Institute of Engg and Tech, Ghaziab, Ghaziabad",3
Kumaraguru college of technology,3
Dr.dy patil college of engineering and innovation,3
Nbnssoe,3
not listed,3
"Indus University, Ahmedabad",3
M.E.S PILLAI COLLAGE INSTITUTE OF INFORMATION TECHNILOGY,3
jntuk univeraity college of engineering vizianagaram,2
The National,3
Ajay Kumar Garg Enginn,3
JNTUK,2
University of Cincinnati,2
Matrusri Engineering College,3
University Of Engineering And Management ,3
"Maharaja Institute of Technology, Mysore",3
Maharashtra institute of technology academy of engineering,3
k.j. somaiya college of science and commerce,3
Madhav Institute of Technology & Science,3
amravati university,3
"University of Colorado, Denver",2
gniem,3
yfvbinc,3
SVS College Of Engineering,3
DTU,2
fu jen catholic univerisity,3
Christ (Deemed to be University) School of Engineering and Technology ,3
college of engineering & Technology,3
Rashtriya Raksha University,3
"Chaitanya Bharati Institute of Technology, Hyderabad",3
"VPM’s R.Z.Shah College of Arts, Science, Commerce ",3
Sambhram Institute Of Technology,3
Babaria Institute Of Technology,3
"VKR, VNB & AGK COLLEGE OF ENGINEERING",3
daulat ram college ,3
national institue of engineering,3
Andhra University College of Engineering for Women ,3
College of Engineering and Technology Bikaner,3
Ramkrishna institute of computer edu and appl sci,3
R.M.K. Engineering College,3
St Joseph's College Of Engineering,3
Vel Tech,3
Anantrao Pawar College of Architecture ,3
Avantika University,3
S B Jain institute of Technology,3
Hansraj College ,2
Sarvajanik college of engineering and technology,3
University of Nebraska-Lincoln,2
Acharya Institute of technology ,3
M S Ramaiah university of Applied Sciences,3
Laxmi Devi Institute of Engineering & Technology,3
MIT College of Engineering,3
"SIDDHARTHA MEDICAL COLLEGE,VIJAYAWADA",2
Rajshahi University of Engineering & Technology,2
bit mesra,2
ababab,3
IPS,3
"kongu engineering college Perundurai, Erode",3
SRM university,2
Carlson School of Management,2
MITS,3
University at Buffalo,2
Mohanlal ,3
Christ University,2
Drs Sudha & Nageswara Rao Siddhartha Institute of Dental Sciences,3
OBAFEMI AWOLOWO UNIVERSITY,2
SAL INSTITUTE OF TECHNOLOGY AND ENGINEERING RESEARCH,3
Sri Indu Institute Of Technology And Science ,3
Gitam Institue of Technology,2
Babasaheb naik college of engineering pusad,3
Bhagwan Mahaveer Institute of Engineering and Technology,3
Amity University Dubai,3
dev samaj college for women,3
G.B Pant,2
Tier1,3
Sona College of Technology,3
Sultan Ul uloom college of Pharmacy ,3
MCT Rajiv Gandhi Institute of Technology,3
niper,2
St.Claret College,3
spbpatel engineering college,3
Sreyas Institute Of Engineering Technology,3
Dr D Y Patil college ambi Pune,3
University of ibadan,2
"SRM University Delhi-NCR, Sonepat",2
Bengal College of Engineering and Technology,3
"A.I.S.S.M.S Polytechnic,pune",3
vadodara design academy,3
sinhgad institute of technology lonavala,3
Obafemi Awolowo University,2
Holy Mary Institute Of Technology,3
S.A Engineer,3
Jai Narain College of Technology,3
university of wyoming,2
UVPCE,3
Brainware Group of Institutions,3
K.J. College of Engineering and Management Research,3
university of calcutta,2
